"","Location","city","Sea.or.Pitt","distance.from.arena.in.miles","west.or.east","Home.Team","Away.Team","Result","W.or.L","Home.or.Away","estimated_flight_duration_in_hours","flight_time"
"1","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Arizona Coyotes","6 - 2","Pitt W","Home ",0,"quick"
"2","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Tampa Bay Lightning","6 - 2","Pitt W","Home ",0,"quick"
"3","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Los Angeles Kings","6 - 1","Pitt W","Home ",0,"quick"
"4","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Boston Bruins","5 - 6","Pitt L","Home ",0,"quick"
"5","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Seattle Kraken","2 - 3","Pitt L","Home ",0,"quick"
"6","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Toronto Maple Leafs","2 - 5","Pitt L","Home ",0,"quick"
"7","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Calgary Flames","2 - 1","Pitt W","Home ",0,"quick"
"8","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Toronto Maple Leafs","1 - 4","Pitt L","Home ",0,"quick"
"9","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Carolina Hurricanes","2 - 3","Pitt L","Home ",0,"quick"
"10","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Vegas Golden Knights","4 - 3","Pitt W","Home ",0,"quick"
"11","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","St. Louis Blues","6 - 2","Pitt W","Home ",0,"quick"
"12","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Columbus Blue Jackets","4 - 1","Pitt W","Home ",0,"quick"
"13","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Buffalo Sabres","3 - 1","Pitt W","Home ",0,"quick"
"14","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Dallas Stars","2 - 1","Pitt W","Home ",0,"quick"
"15","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","New York Rangers","3 - 2","Pitt W","Home ",0,"quick"
"16","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Carolina Hurricanes","3 - 4","Pitt L","Home ",0,"quick"
"17","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Detroit Red Wings","4 - 5","Pitt L","Home ",0,"quick"
"18","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","New Jersey Devils","2 - 4","Pitt L","Home ",0,"quick"
"19","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Vancouver Canucks","5 - 4","Pitt W","Home ",0,"quick"
"20","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Winnipeg Jets","1 - 4","Pitt L","Home ",0,"quick"
"21","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Anaheim Ducks","4 - 3","Pitt W","Home ",0,"quick"
"22","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Ottawa Senators","4 - 1","Pitt W","Home ",0,"quick"
"23","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Florida Panthers","7 - 6","Pitt W","Home ",0,"quick"
"24","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","San Jose Sharks","4 - 6","Pitt L","Home ",0,"quick"
"25","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Colorado Avalanche","2 - 1","Pitt W","Home ",0,"quick"
"26","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","New Jersey Devils","2 - 5","Pitt W","Home ",0,"quick"
"27","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","New York Islanders","2 - 4","Pitt L","Home ",0,"quick"
"28","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Edmonton Oilers","2 - 7","Pitt L","Home ",0,"quick"
"29","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Tampa Bay Lightning","7 - 3","Pitt W","Home ",0,"quick"
"30","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Columbus Blue Jackets","5 - 4","Pitt W","Home ",0,"quick"
"31","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","New York Islanders","3 - 4","Pitt L","Home ",0,"quick"
"32","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Philadelphia Flyers","5 - 1","Pitt W","Home ",0,"quick"
"33","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","New York Rangers","3 - 2","Pitt W","Home ",0,"quick"
"34","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Montréal Canadiens","4 - 6","Pitt L","Home ",0,"quick"
"35","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Ottawa Senators","1 - 2","Pitt L","Home ",0,"quick"
"36","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Washington Capitals","4 - 3","Pitt W","Home ",0,"quick"
"37","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Nashville Predators","2 - 0","Pitt W","Home ",0,"quick"
"38","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Boston Bruins","3 - 4","Pitt L","Home ",0,"quick"
"39","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Philadelphia Flyers","4 - 2","Pitt W","Home ",0,"quick"
"40","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Minnesota Wild","4 - 1","Pitt W","Home ",0,"quick"
"41","PPG Paints Arena","pittsburgh","Pitt",0,"east","Pittsburgh Penguins","Chicago Blackhawks","2 - 5","Pitt L","Home ",0,"quick"
"42","Madison Square Garden","new york","Pitt",372,"east","New York Rangers","Pittsburgh Penguins","4 - 2","Pitt L","Away",0.744,"quick"
"43","Madison Square Garden","new york","Pitt",372,"east","New York Rangers","Pittsburgh Penguins","6 - 0","Pitt L","Away",0.744,"quick"
"44","UBS Arena","new york","Pitt",389,"east","New York Islanders","Pittsburgh Penguins","5 - 1","Pitt L","Away",0.778,"quick"
"45","UBS Arena","new york","Pitt",389,"east","New York Islanders","Pittsburgh Penguins","5 - 4","Pitt L","Away",0.778,"quick"
"46","Prudential Center","new jersey","Pitt",359,"east","New Jersey Devils","Pittsburgh Penguins","2 - 1","Pitt L","Away",0.718,"quick"
"47","Prudential Center","new jersey","Pitt",359,"east","New Jersey Devils","Pittsburgh Penguins","5 - 1","Pitt L","Away",0.718,"quick"
"48","Wells Fargo Center","philadelphia","Pitt",309,"east","Philadelphia Flyers","Pittsburgh Penguins","1 - 4","Pitt W","Away",0.618,"quick"
"49","Capital One Arena","DC","Pitt",246,"east","Washington Capitals","Pittsburgh Penguins","1 - 4","Pitt W","Away",0.492,"quick"
"50","Capital One Arena","DC","Pitt",246,"east","Washington Capitals","Pittsburgh Penguins","3 - 2","Pitt L","Away",0.492,"quick"
"51","PNC Arena","raleigh","Pitt",493,"east","Carolina Hurricanes","Pittsburgh Penguins","3 - 2","Pitt L","Away",0.986,"quick"
"52","PNC Arena","raleigh","Pitt",493,"east","Carolina Hurricanes","Pittsburgh Penguins","2 - 1","Pitt L","Away",0.986,"quick"
"53","Nationwide Arena","columbus","Pitt",187,"east","Columbus Blue Jackets","Pittsburgh Penguins","3 - 6","Pitt W","Away",0.374,"quick"
"54","Nationwide Arena","columbus","Pitt",187,"east","Columbus Blue Jackets","Pittsburgh Penguins","3 - 2","Pitt L","Away",0.374,"quick"
"55","Fenway Park","boston","Pitt",570,"east","Boston Bruins","Pittsburgh Penguins","2 - 1","Pitt L","Away",1.14,"quick"
"56","TD Garden","boston","Pitt",572,"east",NA,NA,NA,NA,NA,1.144,"quick"
"57","FLA Live Arena","sunrise","Pitt",1153,"east","Florida Panthers","Pittsburgh Penguins","2 - 4","Pitt W","Away",2.306,"quick"
"58","FLA Live Arena","sunrise","Pitt",1153,"east","Florida Panthers","Pittsburgh Penguins","4 - 1","Pitt L","Away",2.306,"quick"
"59","Amalie Arena","tampa bay","Pitt",1026,"east","Tampa Bay Lightning","Pittsburgh Penguins","4 - 5","Pitt W","Away",2.052,"quick"
"60","Scotiabank Arena","toronto","Pitt",317,"east","Toronto Maple Leafs","Pittsburgh Penguins","2 - 4","Pitt W","Away",0.634,"quick"
"61","Little Caesars Arena","detroit","Pitt",285,"east","Detroit Red Wings","Pittsburgh Penguins","7 - 4","Pitt L","Away",0.57,"quick"
"62","Little Caesars Arena","detroit","Pitt",285,"east","Detroit Red Wings","Pittsburgh Penguins","1 - 5","Pitt W","Away",0.57,"quick"
"63","Centre Bell","montreal","Pitt",607,"east","Montréal Canadiens","Pittsburgh Penguins","3 - 2","Pitt L","Away",1.214,"quick"
"64","Centre Bell","montreal","Pitt",607,"east","Montréal Canadiens","Pittsburgh Penguins","5 - 4","Pitt L","Away",1.214,"quick"
"65","KeyBank Center","buffalo","Pitt",219,"east","Buffalo Sabres","Pittsburgh Penguins","6 - 3","Pitt L","Away",0.438,"quick"
"66","KeyBank Center","buffalo","Pitt",219,"east","Buffalo Sabres","Pittsburgh Penguins","3 - 4","Pitt W","Away",0.438,"quick"
"67","Canadian Tire Centre","ottawa","Pitt",545,"east","Ottawa Senators","Pittsburgh Penguins","5 - 4","Pitt L","Away",1.09,"quick"
"68","American Airlines Center","dallas","Pitt",1222,"west","Dallas Stars","Pittsburgh Penguins","3 - 2","Pitt L","Away",2.444,"quick"
"69","Ball Arena","denver","Pitt",1448,"west","Colorado Avalanche","Pittsburgh Penguins","2 - 5","Pitt W","Away",2.896,"quick"
"70","Canada Life Centre","winnipeg","Pitt",1323,"west","Winnipeg Jets","Pittsburgh Penguins","0 - 3","Pitt W","Away",2.646,"quick"
"71","Enterprise Center","st louis","Pitt",603,"west","St. Louis Blues","Pittsburgh Penguins","2 - 3","Pitt W","Away",1.206,"quick"
"72","Bridgestone Arena","nashville","Pitt",561,"west","Nashville Predators","Pittsburgh Penguins","1 - 3","Pitt W","Away",1.122,"quick"
"73","Mullett Arena","tempe","Pitt",2047,"west","Arizona Coyotes","Pittsburgh Penguins","1 - 4","Pitt W","Away",4.094,"long"
"74","United Center","chicago","Pitt",462,"west","Chicago Blackhawks","Pittsburgh Penguins","3 - 5","Pitt W","Away",0.924,"quick"
"75","Xcel Energy Center","st paul","Pitt",860,"west","Minnesota Wild","Pittsburgh Penguins","4 - 6","Pitt W","Away",1.72,"quick"
"76","Rogers Arena","vancouver","Pitt",2659,"west","Vancouver Canucks","Pittsburgh Penguins","5 - 1","Pitt L","Away",5.318,"long"
"77","T-Mobile Arena","vegas","Pitt",2198,"west","Vegas Golden Knights","Pittsburgh Penguins","5 - 2","Pitt L","Away",4.396,"long"
"78","Rogers Place","edmonton","Pitt",2098,"west","Edmonton Oilers","Pittsburgh Penguins","6 - 3","Pitt L","Away",4.196,"long"
"79","Crypto.com Arena","LA","Pitt",2427,"west","Los Angeles Kings","Pittsburgh Penguins","6 - 0","Pitt L","Away",4.854,"long"
"80","Climate Pledge Arena","seattle","Pitt",2526,"west","Seattle Kraken","Pittsburgh Penguins","3 - 1","Pitt L","Away",5.052,"long"
"81","Honda Center","anaheim","Pitt",2419,"west","Anaheim Ducks","Pittsburgh Penguins","3 - 6","Pitt W","Away",4.838,"long"
"82","SAP Center at San Jose","san jose","Pitt",2604,"west","San Jose Sharks","Pittsburgh Penguins","1 - 3","Pitt W","Away",5.208,"long"
"83","Scotiabank Saddledome","calgary","Pitt",2057,"west","Calgary Flames","Pittsburgh Penguins","4 - 1","Pitt L","Away",4.114,"long"
"84","PPG Paints Arena","pittsburgh","Sea",2526,"east","Pittsburgh Penguins","Seattle Kraken","2 - 3","Sea W ","Away",5.052,"long"
"85","Madison Square Garden","new york","Sea",2856,"east","New York Rangers","Seattle Kraken","6 - 3","Sea L","Away",5.712,"long"
"86","UBS Arena","new york","Sea",2875,"east","New York Islanders","Seattle Kraken","4 - 0","Sea L","Away",5.75,"long"
"87","Prudential Center","new jersey","Sea",2846,"east","New Jersey Devils","Seattle Kraken","3 - 1","Sea L","Away",5.692,"long"
"88","Wells Fargo Center","philadelphia","Sea",2828,"east","Philadelphia Flyers","Seattle Kraken","3 - 4","Sea W ","Away",5.656,"long"
"89","Capital One Arena","DC","Sea",2762,"east","Washington Capitals","Seattle Kraken","4 - 1","Sea L","Away",5.524,"long"
"90","PNC Arena","raleigh","Sea",2834,"east","Carolina Hurricanes","Seattle Kraken","3 - 2","Sea L","Away",5.668,"long"
"91","Nationwide Arena","columbus","Sea",2388,"east","Columbus Blue Jackets","Seattle Kraken","2 - 4","Sea W ","Away",4.776,"long"
"92","TD Garden","boston","Sea",3048,"east","Boston Bruins","Seattle Kraken","0 - 3","Sea W ","Away",6.096,"long"
"93","FLA Live Arena","sunrise","Sea",3278,"east","Florida Panthers","Seattle Kraken","2 - 5","Sea W ","Away",6.556,"long"
"94","Amalie Arena","tampa bay","Sea",3093,"east","Tampa Bay Lightning","Seattle Kraken","6 - 2","Sea L","Away",6.186,"long"
"95","Scotiabank Arena","toronto","Sea",2584,"east","Toronto Maple Leafs","Seattle Kraken","1 - 5","Sea W ","Away",5.168,"long"
"96","Little Caesars Arena","detroit","Sea",2346,"east","Detroit Red Wings","Seattle Kraken","4 - 5","Sea W ","Away",4.692,"long"
"97","Centre Bell","montreal","Sea",2913,"east","Montréal Canadiens","Seattle Kraken","0 - 4","Sea W ","Away",5.826,"long"
"98","KeyBank Center","buffalo","Sea",2602,"east","Buffalo Sabres","Seattle Kraken","3 - 4","Sea W ","Away",5.204,"long"
"99","Canadian Tire Centre","ottawa","Sea",2570,"east","Ottawa Senators","Seattle Kraken","4 - 8","Sea W ","Away",5.14,"long"
"100","American Airlines Center","dallas","Sea",2162,"west","Dallas Stars","Seattle Kraken","4 - 5","Sea W ","Away",4.324,"long"
"101","Ball Arena","denver","Sea",1372,"west","Colorado Avalanche","Seattle Kraken","2 - 3","Sea W ","Away",2.744,"quick"
"102","Ball Arena","denver","Sea",1372,"west","Colorado Avalanche","Seattle Kraken","2 - 3","Sea W ","Away",2.744,"quick"
"103","Canada Life Centre","winnipeg","Sea",1397,"west","Winnipeg Jets","Seattle Kraken","3 - 2","Sea L","Away",2.794,"quick"
"104","Enterprise Center","st louis","Sea",2086,"west","St. Louis Blues","Seattle Kraken","3 - 5","Sea W ","Away",4.172,"long"
"105","Bridgestone Arena","nashville","Sea",2393,"west","Nashville Predators","Seattle Kraken","2 - 1","Sea L","Away",4.786,"long"
"106","Bridgestone Arena","nashville","Sea",2393,"west","Nashville Predators","Seattle Kraken","2 - 7","Sea W ","Away",4.786,"long"
"107","Mullett Arena","tempe","Sea",1518,"west","Arizona Coyotes","Seattle Kraken","1 - 4","Sea W ","Away",3.036,"quick"
"108","United Center","chicago","Sea",2065,"west","Chicago Blackhawks","Seattle Kraken","5 - 4","Sea L","Away",4.13,"long"
"109","United Center","chicago","Sea",2065,"west","Chicago Blackhawks","Seattle Kraken","5 - 8","Sea W ","Away",4.13,"long"
"110","Xcel Energy Center","st paul","Sea",1669,"west","Minnesota Wild","Seattle Kraken","0 - 4","Sea W ","Away",3.338,"quick"
"111","Xcel Energy Center","st paul","Sea",1669,"west","Minnesota Wild","Seattle Kraken","5 - 1","Sea L","Away",3.338,"quick"
"112","Rogers Arena","vancouver","Sea",142,"west","Vancouver Canucks","Seattle Kraken","6 - 5","Sea L","Away",0.284,"quick"
"113","Rogers Arena","vancouver","Sea",142,"west","Vancouver Canucks","Seattle Kraken","2 - 5","Sea W ","Away",0.284,"quick"
"114","T-Mobile Arena","vegas","Sea",1182,"west","Vegas Golden Knights","Seattle Kraken","2 - 4","Sea L","Away",2.364,"quick"
"115","T-Mobile Arena","vegas","Sea",1182,"west","Vegas Golden Knights","Seattle Kraken","4 - 1","Sea L","Away",2.364,"quick"
"116","Rogers Place","edmonton","Sea",789,"west","Edmonton Oilers","Seattle Kraken","2 - 5","Sea W ","Away",1.578,"quick"
"117","Rogers Place","edmonton","Sea",789,"west","Edmonton Oilers","Seattle Kraken","5 - 2","Sea L","Away",1.578,"quick"
"118","Crypto.com Arena","LA","Sea",1139,"west","Los Angeles Kings","Seattle Kraken","1 - 4","Sea W ","Away",2.278,"quick"
"119","Crypto.com Arena","LA","Sea",1139,"west","Los Angeles Kings","Seattle Kraken","8 - 9","Sea W ","Away",2.278,"quick"
"120","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Vegas Golden Knights","2 - 5","Sea L","Home",0,"quick"
"121","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Carolina Hurricanes","1 - 5","Sea L","Home",0,"quick"
"122","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","St. Louis Blues","3 - 4","Sea L","Home",0,"quick"
"123","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Buffalo Sabres","5 - 1","Sea W ","Home",0,"quick"
"124","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Vancouver Canucks","4 - 5","Sea L","Home",0,"quick"
"125","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Pittsburgh Penguins","3 - 1","Sea W ","Home",0,"quick"
"126","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Nashville Predators","5 - 1","Sea W ","Home",0,"quick"
"127","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Minnesota Wild","0 - 1","Sea L","Home",0,"quick"
"128","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Winnipeg Jets","2 - 3","Sea L","Home",0,"quick"
"129","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","New York Rangers","3 - 2","Sea W ","Home",0,"quick"
"130","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Los Angeles Kings","3 - 2","Sea W ","Home",0,"quick"
"131","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","San Jose Sharks","8 - 5","Sea W ","Home",0,"quick"
"132","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Washington Capitals","3 - 2","Sea W ","Home",0,"quick"
"133","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Florida Panthers","1 - 5","Sea L","Home",0,"quick"
"134","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Montréal Canadiens","2 - 4","Sea L","Home",0,"quick"
"135","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Winnipeg Jets","3 - 2","Sea W ","Home",0,"quick"
"136","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","St. Louis Blues","5 - 2","Sea W ","Home",0,"quick"
"137","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Calgary Flames","2 - 3","Sea L","Home",0,"quick"
"138","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Edmonton Oilers","2 - 7","Sea L","Home",0,"quick"
"139","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","New York Islanders","4 - 1","Sea W ","Home",0,"quick"
"140","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Tampa Bay Lightning","1 - 4","Sea W ","Home",0,"quick"
"141","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","New Jersey Devils","4 - 3","Sea W ","Home",0,"quick"
"142","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Colorado Avalanche","1 - 2","Sea L","Home",0,"quick"
"143","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Vancouver Canucks","6 - 1","Sea W ","Home",0,"quick"
"144","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Calgary Flames","2 - 5","Sea W ","Home",0,"quick"
"145","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Columbus Blue Jackets","3 - 1","Sea W ","Home",0,"quick"
"146","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Philadelphia Flyers","6 - 2","Sea W ","Home",0,"quick"
"147","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Detroit Red Wings","4 - 2","Sea W ","Home",0,"quick"
"148","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Boston Bruins","5 - 6","Sea L","Home",0,"quick"
"149","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Toronto Maple Leafs","1 - 5","Sea L","Home",0,"quick"
"150","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Anaheim Ducks","5 - 2","Sea W ","Home",0,"quick"
"151","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Ottawa Senators","4 - 5","Sea L","Home",0,"quick"
"152","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Dallas Stars","3 - 4","Sea L","Home",0,"quick"
"153","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Dallas Stars","2 - 5","Sea L","Home",0,"quick"
"154","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Edmonton Oilers","4 - 6","Sea L","Home",0,"quick"
"155","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Anaheim Ducks","4 - 1","Sea W ","Home",0,"quick"
"156","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Los Angeles Kings","1 - 3","Sea L","Home",0,"quick"
"157","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Arizona Coyotes","8 - 1","Sea W ","Home",0,"quick"
"158","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Arizona Coyotes","4 - 2","Sea W ","Home",0,"quick"
"159","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Chicago Blackhawks","7 - 3","Sea W ","Home",0,"quick"
"160","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Vegas Golden Knights","1 - 3","Sea L","Home",0,"quick"
"161","Honda Center","anaheim","Sea",1167,"west","Anaheim Ducks","Seattle Kraken","5 - 4","Sea L","Away",2.334,"quick"
"162","Honda Center","anaheim","Sea",1167,"west","Anaheim Ducks","Seattle Kraken","4 - 5","Sea W ","Away",2.334,"quick"
"163","SAP Center at San Jose","san jose","Sea",843,"west","San Jose Sharks","Seattle Kraken","4 - 0","Sea L","Away",1.686,"quick"
"164","SAP Center at San Jose","san jose","Sea",843,"west","San Jose Sharks","Seattle Kraken","1 - 2","Sea W ","Away",1.686,"quick"
"165","Scotiabank Saddledome","calgary","Sea",711,"west","Calgary Flames","Seattle Kraken","4 - 5","Sea W ","Away",1.422,"quick"
